epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.2148,1.03875,2.74093,1.44817,0.63156,0.85,0.84588,0.63158,1.65673,1.05008,1.38829,0,0,0
2,3.25706,1.14199,2.78646,1.46215,0.60007,0.85,0.88435,0.6355,1.67888,1.0429,1.39267,1.17822e-06,1.17822e-06,1.17822e-06
3,4.3183,1.07308,2.4838,1.1951,0.62627,0.85,0.84879,0.63256,1.68626,1.03106,1.38826,2.33288e-06,2.33288e-06,2.33288e-06
4,4.99949,1.22099,2.77773,1.50903,0.61977,0.85,0.85514,0.63621,1.67694,1.01253,1.36859,3.46397e-06,3.46397e-06,3.46397e-06
5,5.78033,1.22896,2.47311,1.65035,0.62772,0.85,0.85724,0.63691,1.6732,1.015,1.36468,4.5715e-06,4.5715e-06,4.5715e-06
6,6.69013,0.84888,1.93691,1.1517,0.61204,0.85,0.85867,0.62876,1.67902,1.01844,1.36672,5.65548e-06,5.65548e-06,5.65548e-06
7,7.58359,1.39706,2.83851,1.74896,0.59201,0.85,0.85881,0.63032,1.67779,1.02463,1.36792,6.71588e-06,6.71588e-06,6.71588e-06
8,8.42416,1.20874,3.82086,1.66781,0.59775,0.85,0.86101,0.63107,1.6778,1.0261,1.36184,7.75273e-06,7.75273e-06,7.75273e-06
9,9.30962,0.93224,2.95874,1.30194,0.58319,0.86667,0.89562,0.63496,1.67802,1.02721,1.36213,8.76602e-06,8.76602e-06,8.76602e-06
10,10.1946,1.00065,2.16892,1.24037,0.58394,0.86667,0.89771,0.63493,1.67282,1.0282,1.35937,9.75574e-06,9.75574e-06,9.75574e-06
11,11.1585,1.15213,2.26383,1.55142,0.60205,0.95,0.91162,0.63577,1.67337,1.03319,1.35751,1.07219e-05,1.07219e-05,1.07219e-05
12,12.0119,1.00874,2.3627,1.38723,0.63497,0.9458,0.91077,0.64093,1.67797,1.04297,1.36101,1.16645e-05,1.16645e-05,1.16645e-05
13,12.8661,1.34784,3.20289,1.8053,0.61914,0.95,0.91067,0.64891,1.68425,1.0511,1.36216,1.25835e-05,1.25835e-05,1.25835e-05
14,13.7343,0.79045,2.54096,1.2183,0.62166,0.95,0.91241,0.64845,1.68937,1.05715,1.36457,1.3479e-05,1.3479e-05,1.3479e-05
15,14.6261,1.31755,3.05866,1.53488,0.63114,0.95,0.9126,0.64851,1.69059,1.06704,1.36574,1.43509e-05,1.43509e-05,1.43509e-05
16,15.4771,1.17626,2.0533,1.50684,0.63746,0.95,0.91283,0.64865,1.68014,1.06545,1.35908,1.51993e-05,1.51993e-05,1.51993e-05
17,16.3487,0.84655,1.58481,1.2138,0.62987,0.95,0.91303,0.6312,1.69125,1.07835,1.3667,1.60241e-05,1.60241e-05,1.60241e-05
18,17.1608,0.63939,1.48343,1.01282,0.62987,0.95,0.91303,0.6312,1.69125,1.07835,1.3667,1.68253e-05,1.68253e-05,1.68253e-05
19,18.0665,0.72519,1.61956,1.05039,0.64651,0.95,0.91061,0.63034,1.69039,1.11259,1.37131,1.7603e-05,1.7603e-05,1.7603e-05
20,18.9743,1.18183,1.81893,1.36083,0.64651,0.95,0.91061,0.63034,1.69039,1.11259,1.37131,1.83571e-05,1.83571e-05,1.83571e-05
21,19.8048,0.80807,1.80094,1.18089,0.61987,0.86667,0.86669,0.61342,1.70374,1.1548,1.38336,1.90876e-05,1.90876e-05,1.90876e-05
22,20.6074,1.0334,1.70998,1.22265,0.61987,0.86667,0.86669,0.61342,1.70374,1.1548,1.38336,1.97946e-05,1.97946e-05,1.97946e-05
23,21.5066,0.95458,1.75063,1.40081,0.82932,0.65,0.8634,0.61306,1.70339,1.18325,1.38534,2.0478e-05,2.0478e-05,2.0478e-05
24,22.351,0.91761,1.66181,1.22315,0.82932,0.65,0.8634,0.61306,1.70339,1.18325,1.38534,2.11379e-05,2.11379e-05,2.11379e-05
25,23.2455,0.69918,2.04094,1.09379,0.83054,0.65,0.85619,0.61284,1.71311,1.21257,1.39303,2.17741e-05,2.17741e-05,2.17741e-05
26,24.1279,0.8556,1.32274,1.1858,0.83054,0.65,0.85619,0.61284,1.71311,1.21257,1.39303,2.23869e-05,2.23869e-05,2.23869e-05
27,25.0067,0.93906,1.49039,1.38132,0.84082,0.65,0.85582,0.61084,1.71614,1.25712,1.39829,2.2976e-05,2.2976e-05,2.2976e-05
28,25.8397,0.97026,1.19957,1.24925,0.84082,0.65,0.85582,0.61084,1.71614,1.25712,1.39829,2.35417e-05,2.35417e-05,2.35417e-05
29,26.7181,0.91428,1.72039,1.26761,0.83217,0.65,0.85556,0.6113,1.6999,1.28086,1.3929,2.40837e-05,2.40837e-05,2.40837e-05
30,27.5399,1.06036,1.28581,1.37,0.83217,0.65,0.85556,0.6113,1.6999,1.28086,1.3929,2.46022e-05,2.46022e-05,2.46022e-05
31,28.4395,1.013,1.6353,1.33917,0.81998,0.65,0.85561,0.58588,1.68616,1.33503,1.38924,2.50971e-05,2.50971e-05,2.50971e-05
32,29.2722,0.6946,1.50456,1.33103,0.81998,0.65,0.85561,0.58588,1.68616,1.33503,1.38924,2.55685e-05,2.55685e-05,2.55685e-05
33,30.2007,1.08259,1.9743,1.35173,0.79985,0.65,0.85247,0.58304,1.67231,1.36876,1.38088,2.60163e-05,2.60163e-05,2.60163e-05
34,31.0567,1.0716,1.92536,1.45536,0.79985,0.65,0.85247,0.58304,1.67231,1.36876,1.38088,2.64405e-05,2.64405e-05,2.64405e-05
35,31.905,0.9184,1.24969,1.30872,0.76471,0.65,0.87048,0.56974,1.64462,1.39496,1.3685,2.68412e-05,2.68412e-05,2.68412e-05
36,32.7245,0.99768,1.50862,1.37708,0.76471,0.65,0.87048,0.56974,1.64462,1.39496,1.3685,2.72183e-05,2.72183e-05,2.72183e-05
37,33.5903,0.96577,1.0372,1.33346,0.7993,0.64996,0.86092,0.57461,1.60563,1.42824,1.35115,2.75718e-05,2.75718e-05,2.75718e-05
38,34.5056,0.56759,0.86735,0.95783,0.7993,0.64996,0.86092,0.57461,1.60563,1.42824,1.35115,2.79018e-05,2.79018e-05,2.79018e-05
39,35.3719,0.69321,0.83738,1.15228,0.78892,0.64398,0.85775,0.55845,1.59267,1.4571,1.34504,2.82082e-05,2.82082e-05,2.82082e-05
40,36.196,0.77417,1.00002,1.16959,0.78892,0.64398,0.85775,0.55845,1.59267,1.4571,1.34504,2.84911e-05,2.84911e-05,2.84911e-05
41,37.0751,0.78355,1.18128,1.12814,0.74065,0.65,0.85763,0.55546,1.57657,1.51345,1.3408,2.87504e-05,2.87504e-05,2.87504e-05
42,37.9061,0.90112,1.09408,1.17876,0.74065,0.65,0.85763,0.55546,1.57657,1.51345,1.3408,2.89861e-05,2.89861e-05,2.89861e-05
43,38.7582,1.02155,1.03604,1.51136,0.72779,0.65,0.84447,0.55102,1.6126,1.59192,1.35272,2.91983e-05,2.91983e-05,2.91983e-05
44,39.5908,0.7063,0.96424,1.09578,0.72779,0.65,0.84447,0.55102,1.6126,1.59192,1.35272,2.93869e-05,2.93869e-05,2.93869e-05
45,40.4658,0.64567,1.4009,1.08611,0.70907,0.65,0.84398,0.55217,1.60396,1.619,1.35354,2.9552e-05,2.9552e-05,2.9552e-05
46,41.2758,0.86526,1.05073,1.25782,0.70907,0.65,0.84398,0.55217,1.60396,1.619,1.35354,2.96935e-05,2.96935e-05,2.96935e-05
47,42.2015,0.88714,0.72847,1.26128,0.73337,0.65,0.84452,0.54249,1.62337,1.62077,1.36819,2.98114e-05,2.98114e-05,2.98114e-05
48,43.023,0.82415,1.04316,1.17209,0.73337,0.65,0.84452,0.54249,1.62337,1.62077,1.36819,2.99058e-05,2.99058e-05,2.99058e-05
49,43.8814,1.03909,1.12087,1.37745,0.71909,0.65,0.84522,0.54254,1.65203,1.65783,1.38266,2.99766e-05,2.99766e-05,2.99766e-05
50,44.7014,0.65906,0.89804,1.1082,0.71909,0.65,0.84522,0.54254,1.65203,1.65783,1.38266,3.00238e-05,3.00238e-05,3.00238e-05
51,45.5672,0.718,0.9186,1.20096,0.71016,0.65,0.7124,0.4225,1.67533,1.70567,1.39714,3.00475e-05,3.00475e-05,3.00475e-05
52,46.4978,0.80133,1.67827,1.17339,0.71016,0.65,0.7124,0.4225,1.67533,1.70567,1.39714,3.00476e-05,3.00476e-05,3.00476e-05
53,47.3206,0.60297,1.03688,1.07234,0.71016,0.65,0.7124,0.4225,1.67533,1.70567,1.39714,3.00242e-05,3.00242e-05,3.00242e-05
54,48.2422,0.73744,0.98485,1.1107,0.72958,0.65,0.6923,0.40133,1.69466,1.77976,1.40378,2.99772e-05,2.99772e-05,2.99772e-05
55,49.037,0.63065,1.12678,1.13113,0.72958,0.65,0.6923,0.40133,1.69466,1.77976,1.40378,2.99066e-05,2.99066e-05,2.99066e-05
56,49.8578,0.72732,0.88105,1.26947,0.72958,0.65,0.6923,0.40133,1.69466,1.77976,1.40378,2.98125e-05,2.98125e-05,2.98125e-05
57,50.7202,0.71973,0.69501,1.20918,0.71975,0.65,0.6911,0.38471,1.72808,1.81853,1.41385,2.96948e-05,2.96948e-05,2.96948e-05
58,51.5489,0.84191,1.17048,1.2442,0.71975,0.65,0.6911,0.38471,1.72808,1.81853,1.41385,2.95535e-05,2.95535e-05,2.95535e-05
59,52.3517,0.73802,0.76351,1.24679,0.71975,0.65,0.6911,0.38471,1.72808,1.81853,1.41385,2.93887e-05,2.93887e-05,2.93887e-05
60,53.2147,0.78929,1.02617,1.31991,0.76306,0.48333,0.67897,0.37299,1.74028,1.85334,1.42566,2.92003e-05,2.92003e-05,2.92003e-05
61,54.0085,0.60982,0.6664,1.06429,0.76306,0.48333,0.67897,0.37299,1.74028,1.85334,1.42566,2.89884e-05,2.89884e-05,2.89884e-05
62,54.83,0.75722,0.92549,1.2918,0.76306,0.48333,0.67897,0.37299,1.74028,1.85334,1.42566,2.87529e-05,2.87529e-05,2.87529e-05
63,55.6836,0.6941,0.83679,1.17543,0.77756,0.4964,0.67838,0.3727,1.73347,1.87875,1.42362,2.84938e-05,2.84938e-05,2.84938e-05
64,56.5036,0.80509,0.75817,1.08606,0.77756,0.4964,0.67838,0.3727,1.73347,1.87875,1.42362,2.82112e-05,2.82112e-05,2.82112e-05
65,57.4205,0.61258,0.70296,1.04026,0.77756,0.4964,0.67838,0.3727,1.73347,1.87875,1.42362,2.7905e-05,2.7905e-05,2.7905e-05
66,58.2631,0.91897,1.956,1.31927,0.78812,0.49141,0.59319,0.31101,1.75609,1.92504,1.43897,2.75753e-05,2.75753e-05,2.75753e-05
67,59.0606,0.80092,0.90525,1.1958,0.78812,0.49141,0.59319,0.31101,1.75609,1.92504,1.43897,2.7222e-05,2.7222e-05,2.7222e-05
68,59.861,0.6667,0.76706,1.05821,0.78812,0.49141,0.59319,0.31101,1.75609,1.92504,1.43897,2.68451e-05,2.68451e-05,2.68451e-05
69,60.7303,0.72392,0.71106,1.30739,0.80302,0.49326,0.59295,0.31759,1.7703,1.95893,1.44253,2.64447e-05,2.64447e-05,2.64447e-05
70,61.673,0.93058,1.11354,1.37029,0.80302,0.49326,0.59295,0.31759,1.7703,1.95893,1.44253,2.60207e-05,2.60207e-05,2.60207e-05
71,62.5702,0.66935,0.7295,1.1427,0.80302,0.49326,0.59295,0.31759,1.7703,1.95893,1.44253,2.55731e-05,2.55731e-05,2.55731e-05
72,63.442,0.62495,1.10787,1.14737,0.78571,0.48333,0.54935,0.29144,1.77211,2.0184,1.45086,2.5102e-05,2.5102e-05,2.5102e-05
73,64.2568,0.60376,0.60555,1.13426,0.78571,0.48333,0.54935,0.29144,1.77211,2.0184,1.45086,2.46073e-05,2.46073e-05,2.46073e-05
74,65.134,1.10079,1.90639,1.52164,0.78571,0.48333,0.54935,0.29144,1.77211,2.0184,1.45086,2.40891e-05,2.40891e-05,2.40891e-05
75,66.0111,0.95846,0.92647,1.25438,0.80908,0.4897,0.54175,0.28874,1.7678,1.99933,1.44261,2.35472e-05,2.35472e-05,2.35472e-05
76,66.8339,1.12329,0.91149,1.51214,0.80908,0.4897,0.54175,0.28874,1.7678,1.99933,1.44261,2.29819e-05,2.29819e-05,2.29819e-05
77,67.6659,0.6828,0.65972,1.04855,0.80908,0.4897,0.54175,0.28874,1.7678,1.99933,1.44261,2.23929e-05,2.23929e-05,2.23929e-05
78,68.6121,0.66816,0.99339,1.12035,0.80319,0.48333,0.53797,0.27878,1.8175,2.04709,1.4667,2.17805e-05,2.17805e-05,2.17805e-05
79,69.5028,0.95921,1.48555,1.38661,0.80319,0.48333,0.53797,0.27878,1.8175,2.04709,1.4667,2.11444e-05,2.11444e-05,2.11444e-05
80,70.5213,0.60203,0.6424,1.12028,0.80319,0.48333,0.53797,0.27878,1.8175,2.04709,1.4667,2.04848e-05,2.04848e-05,2.04848e-05
81,71.494,0.76392,0.82316,1.07977,0.792,0.48333,0.54636,0.28227,1.80673,2.06258,1.44451,1.98016e-05,1.98016e-05,1.98016e-05
82,72.4376,0.43924,0.48122,0.92982,0.792,0.48333,0.54636,0.28227,1.80673,2.06258,1.44451,1.90949e-05,1.90949e-05,1.90949e-05
83,73.3339,0.71053,0.76041,1.04567,0.792,0.48333,0.54636,0.28227,1.80673,2.06258,1.44451,1.83646e-05,1.83646e-05,1.83646e-05
84,74.3196,0.79888,1.35817,1.24318,0.80165,0.46812,0.53775,0.27822,1.82917,2.08689,1.46467,1.76107e-05,1.76107e-05,1.76107e-05
85,75.2496,0.6714,0.77976,1.19384,0.80165,0.46812,0.53775,0.27822,1.82917,2.08689,1.46467,1.68333e-05,1.68333e-05,1.68333e-05
86,76.093,0.63115,0.85561,1.15232,0.80165,0.46812,0.53775,0.27822,1.82917,2.08689,1.46467,1.60323e-05,1.60323e-05,1.60323e-05
87,76.9016,0.58382,0.67609,1.08841,0.80165,0.46812,0.53775,0.27822,1.82917,2.08689,1.46467,1.52077e-05,1.52077e-05,1.52077e-05
88,77.7967,0.75931,1.00224,1.14281,0.80458,0.45905,0.51021,0.24459,1.82894,2.14967,1.4713,1.43596e-05,1.43596e-05,1.43596e-05
89,78.5975,0.678,0.74338,1.17954,0.80458,0.45905,0.51021,0.24459,1.82894,2.14967,1.4713,1.34879e-05,1.34879e-05,1.34879e-05
90,79.4123,0.83794,0.69236,1.1039,0.80458,0.45905,0.51021,0.24459,1.82894,2.14967,1.4713,1.25927e-05,1.25927e-05,1.25927e-05
91,91.8004,0.58569,0.53701,1.07809,0.80458,0.45905,0.51021,0.24459,1.82894,2.14967,1.4713,1.16739e-05,1.16739e-05,1.16739e-05
92,92.6922,0.46789,0.50442,0.85685,0.79519,0.45,0.51228,0.23682,1.83621,2.13043,1.49054,1.07315e-05,1.07315e-05,1.07315e-05
93,93.5788,0.46775,0.47681,0.96074,0.79519,0.45,0.51228,0.23682,1.83621,2.13043,1.49054,9.76562e-06,9.76562e-06,9.76562e-06
94,94.5376,0.63824,0.65306,1.1368,0.79519,0.45,0.51228,0.23682,1.83621,2.13043,1.49054,8.77613e-06,8.77613e-06,8.77613e-06
95,99.3306,0.58582,0.65676,1.08401,0.79519,0.45,0.51228,0.23682,1.83621,2.13043,1.49054,7.76308e-06,7.76308e-06,7.76308e-06
96,100.847,0.8383,0.71419,1.21679,0.8042,0.45,0.52128,0.2748,1.77974,1.99748,1.45462,6.72648e-06,6.72648e-06,6.72648e-06
97,101.849,0.51762,0.45179,0.89392,0.8042,0.45,0.52128,0.2748,1.77974,1.99748,1.45462,5.6663e-06,5.6663e-06,5.6663e-06
98,102.87,0.5456,0.58459,1.01138,0.8042,0.45,0.52128,0.2748,1.77974,1.99748,1.45462,4.58257e-06,4.58257e-06,4.58257e-06
99,103.766,0.57987,0.53261,1.03363,0.8042,0.45,0.52128,0.2748,1.77974,1.99748,1.45462,3.47528e-06,3.47528e-06,3.47528e-06
100,104.87,0.46451,0.42013,0.94146,0.82343,0.46292,0.53272,0.28892,1.72027,1.86521,1.42986,2.34442e-06,2.34442e-06,2.34442e-06
